company_name,contact_email,contact_phone,product_category,annual_revenue,target_market
Aurora Industrial Coatings,export@aurora-industrial.example,+90 212 555 0101,Industrial Coatings,4200000,EU
Bosphorus Textile Exports,sales@bosphorus-textiles.example,+90 212 555 0102,Textiles,1875000,Middle East
Cedar Valley Organics,trade@cedarvalley-organics.example,+1 503 555 0103,Organic Foods,990000,North America
Delta Marine Components,info@delta-marine.example,+65 6555 0104,Marine Equipment,6350000,Southeast Asia
Everest Mining Supplies,export@everest-mining.example,+27 11 555 0105,Mining Equipment,12800000,Africa
Fjord Seafood Trading,sales@fjord-seafood.example,+47 21 555 0106,Seafood,2450000,EU
Granite Stone Works,export@granite-stoneworks.example,+971 4 555 0107,Construction Materials,3100000,Middle East
Helios Solar Systems,trade@helios-solar.example,+55 11 555 0108,Renewable Energy,5600000,South America
Indus Spice Company,export@indus-spice.example,+91 22 555 0109,Spices,780000,EU
Jade Ceramics Manufacturing,sales@jade-ceramics.example,+1 415 555 0110,Ceramics,1320000,North America
Kismet Leather Goods,export@kismet-leather.example,+90 232 555 0111,Leather Goods,640000,Middle East
Lumen Lighting Industries,info@lumen-lighting.example,+65 6555 0112,Electronics,8900000,Southeast Asia
Meridian Pharma Exports,trade@meridian-pharma.example,+27 21 555 0113,Pharmaceuticals,15400000,Africa
Nordic Timber Group,export@nordic-timber.example,+46 8 555 0114,Timber,2750000,EU
Oasis Beverage Co,sales@oasis-beverage.example,+971 2 555 0115,Beverages,1980000,Middle East
Pioneer Auto Parts,export@pioneer-autoparts.example,+1 313 555 0116,Automotive Parts,7200000,North America
Quartz Glass Works,trade@quartz-glass.example,+55 21 555 0117,Glassware,1150000,South America
Aurora Industrial Coatings,export@aurora-industrial.example,+90 212 555 0118,Industrial Coatings,4350000,EU
Summit Grain Traders,,+1 312 555 0119,Grain,3300000,Africa
Tempest Wind Turbines,export@tempest-wind.example,+49 30 555 0120,,9600000,EU
